Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2013,Portugal,4.0,10464537.0,24076.0,5.08,62.1,91605.6,80.8,41.9,16.84,9.43,114.23,1314.0
2013,Qatar,0.9,2035509.0,154159.0,6.37,85.3,11490.0,79.5,29.9,12.74,88.89,177.15,156.0
2013,Romania,2.5,20066550.0,17979.0,5.78,49.8,230080.0,75.0,39.3,10.42,15.37,87.22,2464.0
2013,Russia,4.4,143956860.0,24224.0,6.0,68.0,16376870.0,71.3,37.4,10.54,17.8,8.79,48334.0
2013,Rwanda,3.5,11101352.0,1554.0,3.48,9.0,24670.0,64.4,17.9,12.77,44.41,449.99,628.0
2013,Saudi Arabia,0.9,31482502.0,50005.0,6.35,60.5,2149690.0,76.6,27.1,13.03,83.63,14.65,1944.0
2013,Senegal,0.8,13595571.0,2185.0,4.62,13.1,192530.0,66.1,17.1,10.77,34.02,70.62,894.0
2013,Serbia,2.5,7566674.0,12764.0,5.32,53.5,87460.0,75.6,41.3,10.67,27.43,86.52,1598.0
2013,Sierra Leone,0.8,6964867.0,1965.0,4.91,4.0,72180.0,56.3,17.4,12.21,18.44,96.49,435.0
2013,Slovakia,3.1,5414744.0,23132.0,6.16,77.9,48080.0,76.5,37.4,10.5,19.32,112.62,665.0
2013,Slovenia,3.5,2072374.0,24944.0,5.74,72.7,20136.4,80.3,41.1,10.8,17.57,102.92,459.0
2013,South Africa,3.1,53873610.0,12171.0,4.89,46.5,1213090.0,62.5,24.6,11.49,26.73,44.41,12729.0
2013,Spain,3.4,46603460.0,30280.0,6.38,71.6,499603.47,82.7,40.5,16.9,10.74,93.29,3967.0
2013,Sri Lanka,1.5,21131762.0,9928.0,4.61,10.5,61864.0,74.2,30.1,10.93,28.9,341.61,3149.0
2013,Sweden,3.7,9648935.0,41811.0,7.29,94.8,407310.0,81.9,39.8,14.08,6.43,23.69,1526.0
