alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
3.2,36740.0,7.5,94.8,82.2,34.2,13.24,8.1,3.17
1.8,4768.0,4.43,10.1,67.4,24.3,13.64,97.6,422.99
0.9,8849.0,5.29,12.3,68.8,27.0,10.34,18.05,131.61
1.1,18024.0,5.14,19.0,73.7,27.0,18.36,38.05,47.05
0.8,11484.0,4.73,5.0,67.7,18.1,13.92,66.36,74.58
4.9,48980.0,6.76,74.9,80.6,33.7,16.13,10.29,65.97
1.8,29370.0,7.32,68.9,81.7,28.5,13.7,23.9,344.72
2.9,35151.0,6.01,54.4,82.2,42.8,13.78,19.99,202.98
2.2,7141.0,5.71,37.4,73.1,25.9,13.22,16.54,253.57
1.4,34979.0,5.96,79.1,82.7,44.5,9.83,14.14,351.19
0.8,11615.0,5.17,34.9,74.2,20.6,14.21,33.02,80.07
4.8,21302.0,5.84,50.6,68.7,28.1,10.01,15.24,6.25
1.0,2712.0,3.8,8.8,61.0,17.2,12.16,28.66,74.91
0.9,77126.0,6.48,65.8,78.5,29.3,12.85,62.83,176.42
3.8,4142.0,5.4,17.5,68.6,22.7,10.83,27.52,28.95
1.3,4401.0,4.88,9.0,64.7,20.6,11.78,29.67,27.8
3.5,18428.0,5.07,69.7,73.7,40.7,11.75,16.57,33.38
1.1,16230.0,4.98,52.0,78.4,27.5,16.31,30.07,493.16
2.8,2346.0,4.9,7.0,46.7,20.2,12.79,31.35,67.12
0.9,820.0,4.57,2.5,59.6,17.5,12.69,16.15,43.41
1.2,12893.0,5.75,14.0,70.1,24.5,14.23,44.63,3.52
2.9,20243.0,5.6,63.6,73.9,40.4,12.58,14.51,49.5
3.8,54031.0,7.13,90.0,80.8,38.0,13.57,12.69,201.29
1.6,1347.0,3.82,1.9,63.5,17.1,12.69,23.36,38.41
1.8,1102.0,4.04,3.3,57.5,15.5,12.13,25.17,160.65
1.1,19390.0,5.77,61.0,74.7,25.5,11.43,19.2,88.83
0.7,1500.0,3.68,2.2,56.8,15.2,10.28,35.14,13.15
2.9,23871.0,6.38,68.0,81.1,39.4,14.2,16.64,1323.68
0.8,3104.0,4.2,4.5,63.3,16.9,10.21,40.04,3.42
1.9,16483.0,5.65,35.0,74.2,32.1,11.75,15.2,633.62
2.0,15210.0,7.44,37.2,74.4,25.2,11.6,27.74,58.72
2.7,4892.0,5.76,38.0,69.2,33.6,12.21,19.92,109.33
4.7,9484.0,4.91,12.5,67.4,24.7,10.68,45.36,1.76
2.6,15747.0,5.07,35.6,76.1,35.5,10.9,26.63,46.97
0.9,7226.0,5.14,46.1,71.3,25.2,15.2,29.27,73.73
1.9,925.0,4.55,4.6,54.9,16.0,13.19,22.61,30.21
1.3,3884.0,4.18,1.0,63.9,26.0,10.87,43.62,76.29
2.9,8203.0,4.57,12.0,56.6,19.5,10.65,27.01,2.59
1.6,2189.0,4.6,9.0,67.3,20.4,13.8,100.77,190.21
2.6,44591.0,7.41,91.4,81.1,40.1,14.74,14.99,496.03
4.2,32057.0,7.28,81.2,80.9,36.1,17.07,7.42,16.64
3.2,4189.0,5.77,10.6,72.4,21.2,12.57,22.48,49.38
0.8,799.0,3.72,0.9,59.0,14.4,11.4,72.98,13.64
0.8,5136.0,4.82,13.8,51.4,16.7,11.06,50.97,181.67
2.3,11321.0,5.19,56.7,75.2,34.8,10.65,38.08,83.15
2.6,80623.0,7.44,93.5,81.2,37.8,14.7,8.85,13.6
0.8,44454.0,6.85,48.0,76.6,25.3,13.12,39.1,10.36
1.9,4464.0,5.14,8.0,64.6,19.0,12.33,68.54,257.63
2.3,16762.0,6.87,42.7,76.6,26.2,11.43,14.3,49.73
3.3,7377.0,5.94,24.8,72.1,22.4,14.87,14.6,14.71
1.9,10044.0,5.78,36.0,74.1,25.4,13.11,31.57,23.03
